the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.110123652129 29.984452084401),113781,RAGIN CAJUN DELI,5151 CANAL BLVD,A,NEW ORLEANS,LA,70124,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,RAGIN CAJUN FUEL,3668073.01997,541903.128012
POINT (-90.087495465755 29.966016720879),113715,CANAL STORE #150,2701 CANAL ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,2701 CANAL STREET LLC,3675309.15048,535276.497158
POINT (-90.035956879636 30.00513891837),113751,FUEL ZONE,4500 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES,FUEL ZONE LLC,3691466.2294,549683.876884
POINT (-89.994922090616 30.031374073576),113725,CROWDER CHEVRON,7000 CROWDER BLVD,,NEW ORLEANS,LA,70127,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"LILY & COMPANY, LLC",3704342.0833,559373.338333
POINT (-90.114455450945 29.961204734603),113773,OM CARROLLTON OIL,3101 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"OM CARROLLTON OIL,INC",3666791.6569,533434.86618
POINT (-90.134209735551 29.943438034534),113730,DIAZ MARKET RIVERBEND,600 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-832-2165,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DIAZ II, INC.",3660604.32384,526908.205566
POINT (-90.109879245303 29.96659747972),113724,COSTCO GASOLINE #1147,3800 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-483-9001,"1142 - GASOLINE STATIONS, OTHER",COSTCO WHOLESALE CORPORATION,3668219.71425,535411.318918
POINT (-90.089290585975 29.946442822093),113733,DISCOUNT CITY,2013 S CLAIBORNE AVE,D,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,T & HO LLC,3674818.05608,528152.516992
POINT (-90.076989294557 29.951922709288),113758,KENILWORTH SPUR,6501 I 10 E SERVICE RD,,NEW ORLEANS,LA,70126,504-782-3530,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"HINGEL PETROLEUM,LLC",3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),113770,"MARK'S MID-CITY SERVICE STATION, INC.",4440 S CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-488-0618,"1142 - GASOLINE STATIONS, OTHER","MARK'S MID-CITY SERVICE STATION, INC.",3678691.8167,530187.70942
