"","id","name","mindate","maxdate","datacoverage"
"1","ACMC","Average cloudiness midnight to midnight from 30-second ceilometer data","1994-03-19","1996-05-28","1"
"2","ACMH","Average cloudiness midnight to midnight from manual observations","1965-01-01","2005-12-31","1"
"3","ACSC","Average cloudiness sunrise to sunset from 30-second ceilometer data","1994-02-01","1996-05-28","1"
"4","ACSH","Average cloudiness sunrise to sunset from manual observations","1965-01-01","2005-12-31","1"
"5","ALL","Base Data","1991-06-05","2021-03-03","0.95"
"6","ANN-CLDD-BASE45","Long-term averages of annual cooling degree days with base 45F","2010-01-01","2010-01-01","1"
"7","ANN-CLDD-BASE50","Long-term averages of annual cooling degree days with base 50F","2010-01-01","2010-01-01","1"
"8","ANN-CLDD-BASE55","Long-term averages of annual cooling degree days with base 55F","2010-01-01","2010-01-01","1"
"9","ANN-CLDD-BASE57","Long-term averages of annual cooling degree days with base 57F","2010-01-01","2010-01-01","1"
"10","ANN-CLDD-BASE60","Long-term averages of annual cooling degree days with base 60F","2010-01-01","2010-01-01","1"
"11","ANN-CLDD-BASE70","Long-term averages of annual cooling degree days with base 70F","2010-01-01","2010-01-01","1"
"12","ANN-CLDD-BASE72","Long-term averages of annual cooling degree days with base 72F","2010-01-01","2010-01-01","1"
"13","ANN-CLDD-NORMAL","Long-term averages of annual cooling degree days with base 65F","2010-01-01","2010-01-01","1"
"14","ANN-DUTR-NORMAL","Long-term averages of annual diurnal temperature range","2010-01-01","2010-01-01","1"
"15","ANN-GRDD-BASE40","Long-term averages of annual growing degree days with base 40F","2010-01-01","2010-01-01","1"
"16","ANN-GRDD-BASE45","Long-term averages of annual growing degree days with base 45F","2010-01-01","2010-01-01","1"
"17","ANN-GRDD-BASE50","Long-term averages of annual growing degree days with base 50F","2010-01-01","2010-01-01","1"
"18","ANN-GRDD-BASE55","Long-term averages of annual growing degree days with base 55F","2010-01-01","2010-01-01","1"
"19","ANN-GRDD-BASE57","Long-term averages of annual growing degree days with base 57F","2010-01-01","2010-01-01","1"
"20","ANN-GRDD-BASE60","Long-term averages of annual growing degree days with base 60F","2010-01-01","2010-01-01","1"
"21","ANN-GRDD-BASE65","Long-term averages of annual growing degree days with base 65F","2010-01-01","2010-01-01","1"
"22","ANN-GRDD-BASE70","Long-term averages of annual growing degree days with base 70F","2010-01-01","2010-01-01","1"
"23","ANN-GRDD-BASE72","Long-term averages of annual growing degree days with base 72F","2010-01-01","2010-01-01","1"
"24","ANN-GRDD-TB4886","Long-term averages of annual growing degree days with truncated bases 48F and 86F","2010-01-01","2010-01-01","1"
"25","ANN-GRDD-TB5086","Long-term averages of annual growing degree days with truncated bases 50F and 86F","2010-01-01","2010-01-01","1"
"26","ANN-HTDD-BASE40","Long-term averages of annual heating degree days with base 40F","2010-01-01","2010-01-01","1"
"27","ANN-HTDD-BASE45","Long-term averages of annual heating degree days with base 45F","2010-01-01","2010-01-01","1"
"28","ANN-HTDD-BASE50","Long-term averages of annual heating degree days with base 50F","2010-01-01","2010-01-01","1"
"29","ANN-HTDD-BASE55","Long-term averages of annual heating degree days with base 55F","2010-01-01","2010-01-01","1"
"30","ANN-HTDD-BASE57","Long-term averages of annual heating degree days with base 57F","2010-01-01","2010-01-01","1"
"31","ANN-HTDD-BASE60","Long-term averages of annual heating degree days with base 60F","2010-01-01","2010-01-01","1"
"32","ANN-HTDD-NORMAL","Long-term averages of annual heating degree days with base 65F","2010-01-01","2010-01-01","1"
"33","ANN-PRCP-AVGNDS-GE001HI","Long-term averages of number of days during the year with precipitation >= 0.01 inches","2010-01-01","2010-01-01","1"
"34","ANN-PRCP-AVGNDS-GE010HI","Long-term averages of number of days during the year with precipitation >= 0.10 inches","2010-01-01","2010-01-01","1"
"35","ANN-PRCP-AVGNDS-GE050HI","Long-term averages of number of days during the year with precipitation >= 0.50 inches","2010-01-01","2010-01-01","1"
"36","ANN-PRCP-AVGNDS-GE100HI","Long-term averages of number of days during the year with precipitation >= 1.00 inches","2010-01-01","2010-01-01","1"
"37","ANN-PRCP-NORMAL","Long-term averages of annual precipitation totals","2010-01-01","2010-01-01","1"
"38","ANN-SNOW-AVGNDS-GE001TI","Long-term averages of number of days during the year with snowfall >= 0.1 inches","2010-01-01","2010-01-01","1"
"39","ANN-SNOW-AVGNDS-GE010TI","Long-term averages of number of days during the year with snowfall >= 1.0 inches","2010-01-01","2010-01-01","1"
"40","ANN-SNOW-AVGNDS-GE030TI","Long-term averages of number of days during the year with snowfall >= 3.0 inches","2010-01-01","2010-01-01","1"
"41","ANN-SNOW-AVGNDS-GE050TI","Long-term averages of number of days during the year with snowfall >= 5.0 inches","2010-01-01","2010-01-01","1"
"42","ANN-SNOW-AVGNDS-GE100TI","Long-term averages of number of days during the year with snowfall >= 10.0 inches","2010-01-01","2010-01-01","1"
"43","ANN-SNOW-NORMAL","Long-term averages of annual snowfall totals","2010-01-01","2010-01-01","1"
"44","ANN-SNWD-AVGNDS-GE001WI","Long-term averages of number of days during the year with snow depth >= 1 inch","2010-01-01","2010-01-01","1"
"45","ANN-SNWD-AVGNDS-GE003WI","Long-term averages of number of days during the year with snow depth >= 3 inches","2010-01-01","2010-01-01","1"
"46","ANN-SNWD-AVGNDS-GE005WI","Long-term averages of number of days during the year with snow depth >=5 inches","2010-01-01","2010-01-01","1"
"47","ANN-SNWD-AVGNDS-GE010WI","Long-term averages of number of days during the year with snow depth >=10 inches","2010-01-01","2010-01-01","1"
"48","ANN-TAVG-NORMAL","Long-term averages of annual average temperature","2010-01-01","2010-01-01","1"
"49","ANN-TMAX-AVGNDS-GRTH040","Long-term average number of days per year where tmax is greater than or equal to 40F","2010-01-01","2010-01-01","1"
"50","ANN-TMAX-AVGNDS-GRTH050","Long-term average number of days per year where tmax is greater than or equal to 50F","2010-01-01","2010-01-01","1"
"51","ANN-TMAX-AVGNDS-GRTH060","Long-term average number of days per year where tmax is greater than or equal to 60F","2010-01-01","2010-01-01","1"
"52","ANN-TMAX-AVGNDS-GRTH070","Long-term average number of days per year where tmax is greater than or equal to 70F","2010-01-01","2010-01-01","1"
"53","ANN-TMAX-AVGNDS-GRTH080","Long-term average number of days per year where tmax is greater than or equal to 80F","2010-01-01","2010-01-01","1"
"54","ANN-TMAX-AVGNDS-GRTH090","Long-term average number of days per year where tmax is greater than or equal to 90F","2010-01-01","2010-01-01","1"
"55","ANN-TMAX-AVGNDS-GRTH100","Long-term average number of days per year where tmax is greater than or equal to 100F","2010-01-01","2010-01-01","1"
"56","ANN-TMAX-AVGNDS-LSTH032","Long-term average number of days per year where tmax is less than or equal to 32F","2010-01-01","2010-01-01","1"
"57","ANN-TMAX-NORMAL","Long-term averages of annual maximum temperature","2010-01-01","2010-01-01","1"
"58","ANN-TMIN-AVGNDS-LSTH000","Long-term average number of days per year where tmin is less than or equal to 0F","2010-01-01","2010-01-01","1"
"59","ANN-TMIN-AVGNDS-LSTH010","Long-term average number of days per year where tmin is less than or equal to 10F","2010-01-01","2010-01-01","1"
"60","ANN-TMIN-AVGNDS-LSTH020","Long-term average number of days per year where tmin is less than or equal to 20F","2010-01-01","2010-01-01","1"
"61","ANN-TMIN-AVGNDS-LSTH032","Long-term average number of days per year where tmin is less than or equal to 32F","2010-01-01","2010-01-01","1"
"62","ANN-TMIN-AVGNDS-LSTH040","Long-term average number of days per year where tmin is less than or equal to 40F","2010-01-01","2010-01-01","1"
"63","ANN-TMIN-AVGNDS-LSTH050","Long-term average number of days per year where tmin is less than or equal to 50F","2010-01-01","2010-01-01","1"
"64","ANN-TMIN-AVGNDS-LSTH060","Long-term average number of days per year where tmin is less than or equal to 60F","2010-01-01","2010-01-01","1"
"65","ANN-TMIN-AVGNDS-LSTH070","Long-term average number of days per year where tmin is less than or equal to 70F","2010-01-01","2010-01-01","1"
"66","ANN-TMIN-NORMAL","Long-term averages of annual minimum temperature","2010-01-01","2010-01-01","1"
"67","ANN-TMIN-PRBFST-T16FP10","10% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"68","ANN-TMIN-PRBFST-T16FP20","20% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"69","ANN-TMIN-PRBFST-T16FP30","30% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"70","ANN-TMIN-PRBFST-T16FP40","40% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"71","ANN-TMIN-PRBFST-T16FP50","50% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"72","ANN-TMIN-PRBFST-T16FP60","60% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"73","ANN-TMIN-PRBFST-T16FP70","70% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"74","ANN-TMIN-PRBFST-T16FP80","80% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"75","ANN-TMIN-PRBFST-T16FP90","90% probability date of first 16F occurrence or earlier","2010-01-01","2010-01-01","1"
"76","ANN-TMIN-PRBFST-T20FP10","10% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"77","ANN-TMIN-PRBFST-T20FP20","20% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"78","ANN-TMIN-PRBFST-T20FP30","30% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"79","ANN-TMIN-PRBFST-T20FP40","40% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"80","ANN-TMIN-PRBFST-T20FP50","50% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"81","ANN-TMIN-PRBFST-T20FP60","60% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"82","ANN-TMIN-PRBFST-T20FP70","70% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"83","ANN-TMIN-PRBFST-T20FP80","80% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"84","ANN-TMIN-PRBFST-T20FP90","90% probability date of first 20F occurrence or earlier","2010-01-01","2010-01-01","1"
"85","ANN-TMIN-PRBFST-T24FP10","10% probability date of first 24F occurrence or earlier","2010-01-01","2010-01-01","1"
"86","ANN-TMIN-PRBFST-T24FP20","20% probability date of first 24F occurrence or earlier","2010-01-01","2010-01-01","1"
