"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2103349,"August 28, 2021",Oklahoma,"Oklahoma City","3308 SE 89th St",1,0,N/A
2101524,"August 27, 2021",Tennessee,Memphis,"1300 block of Timothy Dr",1,0,N/A
2101870,"August 27, 2021",Tennessee,Memphis,"3513 Boxtown Rd",1,0,N/A
2101044,"August 26, 2021",Mississippi,Canton,"Franklin St and Canal St",2,1,N/A
2102827,"August 26, 2021",Florida,Crawfordville,"110 Melaleuca Dr",1,0,N/A
2101237,"August 25, 2021",Florida,Holt,"Wilkerson Bluff Rd",1,0,N/A
2099712,"August 24, 2021","New Mexico",Clovis,"1051 NM-311",1,0,N/A
2100311,"August 24, 2021",Indiana,Richmond,"612 S 7th St",1,0,N/A
2100249,"August 24, 2021",Louisiana,Arcadia,N/A,1,0,N/A
2098732,"August 23, 2021",Georgia,Albany,"2500 block of Hilltop Dr",1,0,N/A
2098283,"August 22, 2021","North Carolina","Winston Salem (Winston-salem)","1200 block of E Fourteenth St",1,0,N/A
2097513,"August 21, 2021",California,Guadalupe,"Birch St and Obispo St",1,0,N/A
2097200,"August 21, 2021",Minnesota,"Minneapolis (Brooklyn Center)","I-94 and I-694",1,0,N/A
2096906,"August 20, 2021",Kansas,Hays,"4500 block of Larned Cir",1,0,N/A
2095383,"August 19, 2021","New York",Brooklyn,"1525 St Johns Pl",1,1,N/A
2092834,"August 16, 2021",Nevada,Henderson,"500 block of Chelsea Dr",1,0,N/A
2092310,"August 16, 2021",Wisconsin,Milwaukee,"943 S 28th St",1,0,N/A
2089933,"August 13, 2021",Minnesota,Bena,N/A,1,0,N/A
2093549,"August 12, 2021",Virginia,Dumfries,"2800 block of Banks Ct",1,0,N/A
2090016,"August 12, 2021",Texas,Houston,"3900 Center St",1,0,N/A
2089777,"August 12, 2021",Texas,Houston,"3990 Washington Ave",1,0,N/A
2090601,"August 12, 2021",Louisiana,Thibodaux,"500 block of Karla Dr",1,0,N/A
2089812,"August 11, 2021",Florida,"Altamonte Springs","497 Spanish Trace Dr",1,0,N/A
2087889,"August 10, 2021",Louisiana,Monroe,"2936 Barrington Dr",1,0,N/A
2087860,"August 10, 2021",Alabama,Monroe,"2936 Barrington Dr",1,0,N/A
2088140,"August 10, 2021",Mississippi,Jackson,"3200 block of Tougaloo St",1,0,N/A
2088253,"August 10, 2021",Texas,Arlington,"2100 block of Cottoncreek Dr",1,0,N/A
2087885,"August 9, 2021",Ohio,Dayton,"800 block of Westwood Ave",1,0,N/A
2086576,"August 8, 2021","North Carolina",Gastonia,"610 W Fifth Ave",1,0,N/A
2085311,"August 7, 2021",Arizona,Phoenix,"5800 W Roma Ave",1,0,N/A
2085088,"August 7, 2021","New York",Rochester,"537 Hague St",1,1,N/A
2087669,"August 6, 2021",Kansas,Caldwell,"1500 block of S Blackstone Rd",1,0,N/A
2083541,"August 5, 2021",Illinois,Chicago,"6400 block of S Carpenter Ave",1,0,N/A
2082997,"August 4, 2021",Ohio,Dayton,"1000 block of Randolph St",1,0,N/A
2084174,"August 3, 2021",Alabama,Decatur,"400 block of Pine Ave SW",1,0,N/A
2081842,"August 3, 2021",Texas,Groveton,N/A,1,0,N/A
2081610,"August 2, 2021",Louisiana,"Baton Rouge","7500 block of Glenetta Ct",1,0,N/A
2081603,"August 2, 2021",Michigan,Mancelona,N/A,1,0,N/A
2081118,"August 2, 2021",Virginia,Roanoke,"1644 Queen Ann Dr SE",1,0,N/A
2081354,"August 1, 2021",Missouri,Independence,"200 block of E Walnut St",1,0,N/A
2081494,"August 1, 2021",Utah,Smithfield,N/A,1,0,N/A
2080140,"August 1, 2021",Wisconsin,Milwaukee,"1307 S 9th St",1,0,N/A
2081433,"August 1, 2021",Mississippi,Houston,"Church St",1,0,N/A
2080577,"August 1, 2021",Pennsylvania,Philadelphia,"9500 block of Clark St",1,0,N/A
2081408,"July 31, 2021",California,Petaluma,"1216 Del Sol Way",2,0,N/A
2079460,"July 31, 2021","North Carolina",Raleigh,"700 block of Rock Quarry Rd",1,0,N/A
2079064,"July 31, 2021",Ohio,Columbus,"2119 Via Da Vinci Ct",1,0,N/A
2081403,"July 31, 2021",Oklahoma,"Oklahoma City (Del City)","3600 block of Mistletoe Ln",2,0,N/A
2078743,"July 28, 2021",Pennsylvania,Richfield,"Palmer Ln",1,0,N/A
2075277,"July 25, 2021","North Carolina","High Point","800 Block of Worth St",1,0,N/A
2075861,"July 25, 2021",Texas,"Prairie View",N/A,1,0,N/A
2073050,"July 24, 2021",Tennessee,Nashville,"4000 block of Scotwood Dr",1,0,N/A
2074453,"July 24, 2021",Mississippi,Amory,N/A,1,0,N/A
2075001,"July 23, 2021",Nebraska,Beatrice,US-77,1,0,N/A
2072912,"July 23, 2021",Texas,Dallas,"300 block of South Storey St",1,0,N/A
2071018,"July 21, 2021",Wisconsin,"Eau Claire","2800 block of Terry Ln",1,0,N/A
2077372,"July 21, 2021",Oklahoma,Durant,"1212 N 2nd Ave",1,0,N/A
2068820,"July 20, 2021",Texas,"San Antonio","8611 Waters Edge Dr",1,1,N/A
2070859,"July 20, 2021",Kansas,Wichita,"550 N Nims St",1,0,N/A
2067698,"July 18, 2021",Tennessee,Westmoreland,"Fairfield Rd",1,0,N/A
2066733,"July 18, 2021",Arizona,Phoenix,"17th St and McDowell Rd",1,0,N/A
2066378,"July 18, 2021",Texas,Lufkin,"100 block of Deer Trace Cir",1,0,N/A
2065625,"July 17, 2021",Utah,"West Jordan","5208 W Cyclamen Way",1,0,N/A
2067771,"July 17, 2021",Mississippi,Hickory,MS-503,1,0,N/A
2065125,"July 16, 2021",Pennsylvania,"Scranton (Dunmore)","400 block of William St",1,0,N/A
2064549,"July 15, 2021",Texas,Athens,"3800 block of Oakridge Estates Rd",1,0,N/A
2070938,"July 15, 2021",Mississippi,Corinth,N/A,1,0,N/A
2062831,"July 13, 2021",Ohio,"Maple Heights","19700 block of Maple Heights Blvd",1,0,N/A
2061324,"July 12, 2021",Tennessee,Memphis,"5587 Berryman Dr",1,0,N/A
2060546,"July 11, 2021",Kansas,Newton,"900 block of S Walnut St",1,0,N/A
2059286,"July 9, 2021",Utah,"Heber City","2790 N Commons Blvd",1,0,N/A
2058232,"July 9, 2021",Oklahoma,Sayre,"100 block of W Main St",1,0,N/A
2057278,"July 8, 2021",California,Tulare,"Gemini St",1,0,N/A
2057472,"July 8, 2021",Mississippi,Jackson,"Coronet Pl and Cummins St",1,0,N/A
2056068,"July 7, 2021","West Virginia",Clarksburg,"N 1st St",1,0,N/A
2055926,"July 7, 2021",Tennessee,Goodlettsville,"100 block of Elizabeth Ct",1,0,N/A
2055374,"July 6, 2021",Colorado,"Manitou Springs","141 Manitou Ave",1,0,N/A
2055057,"July 6, 2021",Virginia,Halifax,"5100 block of Halifax Rd",1,0,N/A
2056708,"July 6, 2021",Texas,Richmond,"1930 Rocky Falls",1,0,N/A
2053921,"July 5, 2021",Kansas,Lenexa,"12445 W 97th Ter",1,0,N/A
2053255,"July 4, 2021",Tennessee,Knoxville,"3900 block of Alma Ave",1,0,N/A
2054915,"July 3, 2021",Texas,Tyler,"323 Chimney Rock Dr",1,0,N/A
2052995,"July 3, 2021",Virginia,Bedford,"900 block of Burks Hill Rd",1,0,N/A
2052146,"July 3, 2021",Virginia,Richmond,"4521 S Laburnum Ave",1,1,N/A
2052603,"July 3, 2021",California,"Chula Vista","530 Telegraph Canyon Rd",1,0,N/A
2051232,"July 2, 2021","North Carolina",Tarboro,"2200 block of Sherwood Ave",1,0,N/A
2051982,"July 2, 2021",Texas,"El Paso","900 block of S Tays St",1,0,N/A
2053259,"July 2, 2021","South Carolina",Charleston,"100 block of Ivy Green Way",1,0,N/A
2051739,"July 2, 2021",Florida,Jacksonville,"3800 block of Emerson St",1,0,N/A
2050257,"July 1, 2021",Ohio,Columbus,"462 S Eureka Ave",1,0,N/A
2051370,"July 1, 2021",Missouri,"West Plains","Co Rd 3010",1,0,N/A
2050397,"July 1, 2021",Pennsylvania,Philadelphia,"5500 block of Whitby Ave",1,0,N/A
2050433,"June 30, 2021",Missouri,"Saint Louis (Jennings)","5400 block of Hamilton Ave",1,0,N/A
2050250,"June 30, 2021",Michigan,Kalamazoo,"5700 block of Higgins St",2,0,N/A
2048932,"June 29, 2021",Alabama,Mobile,"2602 Florida St",1,0,N/A
